cell_id,robot_id,x,y
0,0,2.292629737603321,3.009131211945991
0,0,6.185911200741709,-1.3968989527971656
0,0,0.42353641666440556,-2.56556452158648
0,0,2.292629737603321,3.009131211945991
0,1,-7.3929898539390315,3.6960938751022563
0,1,-1.3421729343944833,2.7885186711380854
0,1,-5.153564576644573,-1.9978548928541109
0,1,-7.3929898539390315,3.6960938751022563
0,2,6.7798104730158535,0.35277916343782323
0,2,11.442126866018349,3.2048321958629544
0,2,11.580919048537709,-2.258878757170406
0,2,6.7798104730158535,0.35277916343782323
1,0,26.08280730123882,3.605257713311461
1,0,32.94139833581416,2.6521438126577923
1,0,28.686681967860334,-2.8110133071258128
1,0,26.08280730123882,3.605257713311461
1,1,15.067778586816255,-0.4716946939565886
1,1,20.92075944743688,3.193746113048792
1,1,21.16863387206136,-3.707804403615467
1,1,15.067778586816255,-0.4716946939565886
1,2,26.103037207889507,-3.884886029809271
1,2,30.738513005493328,-9.010825377560181
1,2,23.981581413280892,-10.462295503037566
1,2,26.103037207889507,-3.884886029809271
2,0,5.149297302909371,12.076561900299529
2,0,11.337270736277901,12.626273193006075
2,0,8.719347963824688,6.992475355412441
2,0,5.149297302909371,12.076561900299529
2,1,4.124421156793299,8.912289072192976
2,1,5.9364528559596526,7.64492913575335
2,1,3.9328711056811274,6.709343620032421
2,1,4.124421156793299,8.912289072192976
2,2,3.3387426142492886,6.771844433865377
2,2,4.107811456695356,7.54204784699899
2,2,4.390292757327513,6.490912985614798
2,2,3.3387426142492886,6.771844433865377
3,0,30.383123080766072,9.982351632107951
3,0,32.81959662349169,6.878419450581893
3,0,28.913275731303262,6.320337557695865
3,0,30.383123080766072,9.982351632107951
3,1,21.709676215454966,13.118654058983594
3,1,27.774458746718054,16.36776213862035
3,1,27.555877617693213,9.490952358300046
3,1,21.709676215454966,13.118654058983594
3,2,14.560806454119666,12.426118905625664
3,2,19.98239371759906,11.286226432541895
3,2,16.28442424658615,7.160940370076469
3,2,14.560806454119666,12.426118905625664
